intention,german_words,english_words,category,sentiment,valence
military_commemoration,heer; heeres; truppen; soldaten; niedergeworfen; triumphiert; krieger; streitwagen; siege; sieg; niederwerfen; heeresabteilung; armee; siegen; truppenoberst; triumph; zum kampf; triumphieren; streitwagens; tribute; sieges; kriegsgefangene; siegreichen; kriegsbeute; triumphierst; neun bogen; triumphierende; siegreich; niederwerfens; elitesoldaten; bogenvölker; besiegt; streitwagentruppe; truppenvorsteher; streitwagentruppen; krieg; tributen; fußtruppen; tribut; feldzug; kriegswaffen; siegreicher; unterworfen; kriegern; kriegsgeschrei; obsiegen; bogenkrieger; kriegsgerät; truppenschreiber; kriegsausrüstung; siegreiche; truppenobersten; heeren; streitwagenkämpfer; unterwerfen; heere; bekriegt; kriegers; kriegsgefangenen; heeressoldat; kampftruppen; streitwagenlenkers; truppenoberste; garnisonstruppen; triumphierenden; truppenchef; siegesschrei; besiegen; armeeschreiber; kriegsgebrüll; heeresvolk; siegeskraft; siegreichem; fußsoldaten; armeeleute; armeedivision; sieghaftigkeit; heeressprecher; heerestruppe; triumphierender; heeresvorsteher; sieghaft; frohlocken über; bogentruppen; niedergeworfener; heerlager; armeeleutnant; streitwagenführer; tributes; truppenschreibers; armeen; heeresabteilungen; heerlagers; tributs; kriegsgefangener; wagenkämpfertruppen; truppenvorstehers; arbeitstruppen; heervorsteher; kriegsschrei; hilfstruppen; kriegsgebrülls; siegeszug; wachtruppen; armeetruppe; armeeschreibers; streitwagenfahrer; truppenangehöriger; truppenbefehlshaber; heeressoldaten; armeetruppen; truppenoberstes; kriegshandwerks; triumphes; heeresschreiber; armeemannschaft; kriegsschiff; soldatenberuf; truppenteile; triumphierte; streitwagenlenker; siegestaten; truppenkommandant; streitwagenteil; streitwagengespann; schlachtruf; triumphator; kriegsruf; streitwagenkorps; asiatenkriegern; kampfruf; unterworfener; streitwagenbedeckungen,army; battle cry; battle shout; bring under control; campaign; celebrate victory; conquer; conquest; crushing rebels; crushing the foe; cry to arms; defeat of enemies; defeat of the rebels; defeat the enemy; domination of enemies; expedition; expeditionary force; exult over; exultant triumph; foes beneath the feet; glorious victory; march to war; military campaign; military expedition; military victory; nine bows; nine enemies; prevail; rallying cry; rout of enemies; shout of war; slaying the foe; smiting the enemies; striking down enemies; subdue; subduing foreign foes; subjection; subjugate; subjugated peoples; subjugation; success in war; the nine bows; to battle; traditional enemies of egypt; trampling the foes; tribute; triumph; triumph in battle; triumphal; triumphant return; troops; vanquish; victorious king; victory; victory celebration; victory parade; war; war campaign; war cry; war shout; won the battle,royal_military,positive,0.2
peace_treaty,zufrieden; frieden; zufriedenstellen; zufriedenstellt; zufriedengestellt; zufriedenheit; zufriedener; befriedet; zufriedenstellend; friedens; vertrag; zufriedenzustellen; zufriedenstelle; zufriedene; zufriedenen; befriedete; befrieden; zufriedenstellte; vertrages; zufriedenstellendes; zufriedenstellst; herzenszufriedenheit; vertrags; zufriedenstellende; kaufvertrag; friede; zufriedenstelt; befriedest; befriedeten; befriedens; zufriedenstellung; zufriedenem; befrieder; zufriedenstellenden; friedensjahren; zufriedenstellens; befrieders; herzensfrieden,alliance; make peace; pact; peace; peace accord; peace agreement; peace treaty; sworn peace; treaty; treaty of friendship,royal_administrative,positive,0.5
legal_transaction,urkunde; hausurkunde; erwerben; vertrag; urkunden; vermächtnis; vertrages; urkundenschreiber; kaufpreis; kaufleute; gekauft; angekauft; besitzübertragungsurkunde; kaufte; ernennungsurkunde; vertrags; kaufvertrag; verkauft; urkundenschreibers; verkaufen; ware; übereignet; kaufen; privaturkunde; beschenkung; testamentsurkunde; versorgungsurkunde,contract; sale; purchase; deed; legal document; transfer of property; conveyance; bequest; will; testament; endowment deed; buy; sell; acquire; ownership; price; transaction; legal agreement; title deed,administrative_legal,neutral,0.0
legal_complaint_trial,gerichtshof; vergehen; gerechtigkeit; richter; gerechten; gericht; klage; bestrafen; klagen; zeuge; zeugen; das recht; strafe; klageweib; gerichtshofes; prozessieren; gerichtshöfe; gerecht; gesetze; bezeugen; anklage; gesetz; gerechte; urteil; gerichtshalle; gerechter; gesetzen; klagefrauen; klagefrau; schiedsrichter; beklagen; beurteilt; gerichtshofs; richterkollegium; prozessionen; klagenden; gerichtskollegium; urteilt; prozessiert; aufgerichtetem; klagegeschrei; bestrafe; totengericht; klageschrei; beklagenswert; hingerichtet; hergerichtet; bezeuge; beurteilen; klageschreie; erzeuge; klagens; schreibzeuges; prügelstrafe; bestattungsprozession; klageweiber; überzeugen; verurteilt; ausgerichtet; gerechtfertigen; richtern; richterkollegiums; zugerichtet; richterlich; prozessierte; vergehens; klagend; prozessionsstatue; strafenden; prozessgegner; richters; gerichtsentscheides; zeugenaussage; prozessiere; prozessionsbarken; prozessionswagen; gerichtshöfen; gottesurteil; anklagen; gerichteten; beschuldigt; marterwerkzeuges; gerichtsverfahren; urteilsspruch; gerichtsbehörde; aufrichterin; prozess; ausrichter; beschuldigung; verordnung; urteilte; zukunftsgericht; werkzeugen; beklagens; oberrichter; gerichtsvorsteher; strafend; gottesgericht; vergehendem; hingerichteten; berichterstatter; gerichtsurteil; prozessierst; verurteilung; klageweibes; gerichts; geurteilt; gerichtes; urteilen; klagender; verhandlung; wehklagend; gerichtsversammlung; abgeurteilt; gerichtshallen; wehklagenden; gerichtsentscheidung; hinrichter; gerichtshäuser; weheklagen; erzeugender; zeugenden; aufgerichtete; flussprozession; prozessions; prozessgegnern; urteilsfähig; werkzeuge; augenzeuge; gerichtsparteien; prozessionsgestalt; gesetzes,court; tribunal; judge; lawsuit; legal complaint; trial; verdict; judgment; witness; accusation; charge; sentence; punishment; law; statute; justice; litigation; plaintiff; defendant; offense; legal dispute,administrative_legal,negative,-0.4
boundary_demarcation,grenzsteine; abgrenzung; abgrenzen; grenzstelen; abgrenzt; grenzmarke; grenzsteinen; grenze; grenzstein; grenzstele; grenzmarkierung; gebietsgrenze; landgrenze; grenzziehung; grenzfestlegung; feldgrenze; grenzverlauf; markierung,boundary; border; boundary stela; boundary marker; landmark; demarcation; field boundary; territory limit; border stone; mark out land; delimitation,administrative_legal,neutral,0.0
inventory_accounting,amt; abgaben; arbeitsverwaltung; verwaltung; abrechnung; steuern; zählung; verwaltungen; abgabe; nekropolenverwaltung; tribute; magazinverwaltung; steuer; scheunenverwaltung; steuereintreiber; tributen; verwaltungsleiter; tempelverwaltung; tribut; inventar; behörde; getreidezählung; wirtschaftsverwaltung; staatsverwaltung; besteuern; provinzverwaltung; verwaltet; verzeichnis; aufzählung; abgabenpflichtig; erzählung; speiseverwaltungen; rindersteuer; verwaltungsbeamten; steuerruderleine; erntesteuer; speiseverwaltung; besteuert; opferverzeichnis; rinderabgabe; palastverwaltung; bilanz; pflichtabgabe; pflichtabgaben; gerichtsbehörde; tempelinventarbuch; fronarbeit; verwaltungsbeamte; viehsteuer; rechnungsschreiber; zählungen; arbeitsabrechnung; steuerabgabe; verzeichnisse; steuerbordseitige; rechnungsanteils; zusteuern; steuerbords; abgabenträger; schatzhausverwaltung; abrechnungen; steuerliste; steuerhalterung; register; saatkornabgabe; steuerstrick; tributes; steuererhebung; tributs; fronarbeiterinnentruppe; verwaltungsvorsteher; erntesteuern; ortsverwaltung; rechnungs; gesamtabrechnung; besteuerten; steuerbordseitig; aufsichtsbehörde; inventars; verwaltungsleiters; rechnungshof; lebensmittelabgabe; steuerbeamten; schlußabrechnung; inventarliste; abgabenzahlung; obersteuermann; rechnungsbeamter; abgabepflichtigen; behörden; erzählungen; geflügelverwaltung; verwaltungsbezirk; steuere; abgabenverpflichtung; steuerschätzung; verwaltungsbüros; verwaltungseinheit; steuerrudern; steuerzahlergemeinschaft,inventory; account; accounting; reckoning; census; tax; taxes; dues; tribute; register; list; ledger; assessment; tally; stocktaking; cattle census; grain count; levy; record of goods; administration,administrative,neutral,0.0
expedition_record,expedition; inu; tribut; steinbruch; expeditionsvorsteher; gaben der fremdländer; expeditionsleiter; bergwerksarbeiter; bergwerk; abgaben der fremdländer; expeditionsteilnehmer; abbaugebiet; steinbruchs; expeditionsheeres; bergwerksarbeitern; abbauens; bergwerksregion; bergwerksarbeit; grabbauer; expeditionzüge,expedition; mining expedition; trading expedition; quarry; mine; quarrying; trade mission; caravan; expedition leader; bringing tribute; foreign goods; mining region; produce; inu-tribute,administrative,neutral,0.1
annals_regnal_dating,regierungsjahr; annalen; datierungsformel; regierungsjahrs; königsjahr; thronbesteigung; unter der majestät; jahreszählung; regierungszeit; herrscherjahr; datierung; thronjahr; im jahre; jahr der herrschaft,regnal year; year of reign; dating; annals; chronicle; date formula; reign of; in the year; accession year; historical record; year count; reckoning of years,administrative,neutral,0.0
astronomical_calendrical,neujahrstag; jahreszeit; jahresanfang; achet; finsternis; peret; schemu; überschwemmungszeit; neumondfest; neujahrsfest; überschwemmungsjahreszeit; vollmondfest; jahresanfangsfest; jahresanfangs; winterjahreszeit; neumondstag; sommerjahreszeit; jahreszeiten; unglückstag; sternbild; neujahresfest; neujahrestagsfest; peretzeit; neumondfestes; jahreszeitenfesten; schemuzeit; neumondes; neujahrsfestes; neujahrsanfangsfesten; vollmondfestes; jahreszeitenanfängen; jahresanfangsfesten; neujahrstagfest; neumondstages; neujahrsanfangsfest; vollmond; neujahrsfests; neujahrstages; neujahrs; aussaatzeit; finsternist; jahresanfangfeste; neumondsfest; jahreszeitenfeste; neujahrstagen; achetzeit,calendar; season; new year; inundation season; akhet; peret; shemu; eclipse; new moon; full moon; lunar festival; star; constellation; decan; lucky day; unlucky day; calendrical; astronomical observation; lunar day,scientific,neutral,0.0
autobiographical,lebenszeit; geliebt von; vortrefflich; trefflich; trefflicher; tüchtig; trefflichen; ich war ein; meiner stadt; vortrefflichen; vortrefflicher; vortreffliche; rechtschaffen; nackten; tüchtiger; treffliche; hungrigen; tüchtigkeit; vortrefflichkeit; ich gab brot; brot dem hungrigen; kleidung dem nackten; treffliches; vortrefflichem; trefflichkeit; tüchtigen; trefflichmachens; vortreffliches; rechtschaffenheit; durstigen; rechtschaffener; tüchtige; rechtschaffender; allertüchtigster; rechtschaffene; rechtschaffenen; wohltäter,autobiography; self-presentation; ideal biography; I was; I did; I made; my deeds; gave bread to the hungry; clothes to the naked; excellent; virtuous; righteous; benefactor; lifetime; account of life; tomb biography; career; my virtue; loved by his town,literary_commemorative,positive,0.3
appeals_to_living,vorbeigehen; vorübergeht; vorbeigeht; vorübergehender; vorübergehen; vorbeigehe; vorbeigehst; vorübergehe; vorbeigehenden; vorübergehst; vorübergehende; vorübergehens; vorbeigehend,appeal to the living; o you who live; you who pass by; o passerby; address to the living; whoever passes; you who shall come; call to visitors; as you love life; recite the offering formula for me,funerary_literary,neutral,0.1
didactic_wisdom,weise; wahrheit; lehre; wahrhaftig; weisen; rat; klug; weisheit; weiser; aufrichtigkeit; ratschlag; aufrichtig; lehrer; lehren; belehren; erziehungslehre; klugen; belehre; verständig; vorschriften; vorschrift; einsicht; klugheit; verständiger; kluger; wahrhaftiger; unterweisung; gelehrt; aufrichtigem; wahrheiten; gelehrten; belehrung; weisheitslehren; verständige; kluge; aufrichtiger; wahrhaftigen; klugem; brieflehre; wahrheitsgehalt; aufrichtigen; belehrungen; aufrichtigste; weisester; verständigen; lebenslehre; gelehrte; weiseste; unterweisungen; kapellenvorschriften; wahres wort; torheit; lebenslehren; wahrhaftiges; wahrheitssuchend; wahrhaftigkeit; beratschlagung; gelehrter; beratschlagen; verständigem; weisheiten; lehrers; weisem; beratschlagungen,wisdom; instruction; teaching; maxim; precept; counsel; advice; sage; wise; truth; rightness; proverb; admonition; moral instruction; teaching of; words of wisdom; prudence; insight; folly; discipline,literary,positive,0.3
love_poetry,geliebter; geliebte; liebe; geliebt; liebling; geliebten; lieben; lieblingsort; liebenswürdigkeit; sehnen; gottesgeliebte; lieber; sehnsucht; vorliebe; verlangen; liebendem; liebster; lieblingsplatz; begehren; zuliebe; liebreizende; lustbarkeit; liebender; vielgeliebter; lieblings; lieblingsortes; gottgeliebte; liebreiz; liebenswertes; liebenden; zuneigung; lust; liebeskummer; liebenswürdiger; gottgeliebten; liebende; geliebtheit; vielgeliebte; herbeizuwünschen; liebesreicher; lieblingen; geliebtem; gottesliebling; gottesgeliebter; liebeshöhle; geliebtes; götterliebling; liebenswürdige; vielgeliebten; lieblingsweg,love poetry; love song; beloved; lover; longing; desire; yearning; sweetheart; love sickness; charm; affection; my sister; my brother; tenderness; passion; love; adore; embrace of love,literary_emotional,positive,0.8
letter_correspondence,sei gegrüßt; mitteilung; o du; brief; seid gegrüßt; grüße; heil dir; briefes; nachricht; briefe; mitteilungsschreiben; gegrüßt seist du; begrüßung; gruß; brieflehre; briefschreiber; briefeschreiber; briefen; briefeschreibers; mitteilungen; brieflich; briefträger,letter; correspondence; message; dispatch; missive; note; greeting; communication; report to; news; messenger; reply; address; dear; epistle; written to; sender; recipient,correspondence,neutral,0.0
satire,geschmäht; verspotte; schmähen; verschmähen; schmäht; verspottet; verspotten; schmährede; schmähung; schmähender; verspotteten; lächerlich; schmähten; lächerlicher; schmähte; verspottest; verhöhnten,satire; mockery; ridicule; derision; scorn; lampoon; sarcasm; taunt; jeer; deride; mock; ironic; make fun of; satirical,literary_emotional,negative,-0.2
oath_vow,gelobt; gelobte; eid; eides; schwur; geschworen; schwören; schwöre; gelöbnis; versprechen; geloben; eidesleistung; gelübde; eidformel; beteuerung; feierliches versprechen; beim leben des königs,oath; vow; swear; swearing; sworn statement; solemn promise; take an oath; by the life of; pledge; swear an oath,legal_religious,neutral,0.1
joy,zufrieden; jubelt; freude; jubel; jubeln; herzensfreude; erfreuen; jauchzen; freuen; zufriedenheit; frohlocken; fröhlich; jubelte; fröhlichkeit; jubelnd; zujubeln; frohlockt; jubels; jubelgeschrei; jubelten; fröhlichem; heiter; herzenfreude; bejubeln; jubelnden; jubele; jauchzt; erfreuenden; frohlockte; gejubel; jubelnde; frohsinn; heiterkeit; bejubelten; fröhliche; gejubelt; zujauchzen; herzenszufriedenheit; jubelschrei; freudevoll; jauchzend; jauchzenden; frohlockend; erheiterung; herzensjubel; jauchzens; jubellied; erheitert; freudengeschrei; jubelfeld; festfreude; bejubelter; gelassenheit; jubelreden; gesundheiterschafft; befriedigung; jubelrede; gescheitert; bejubelte; fröhlichen; jubelns; freuden; freudentaumel; frohlocke; frohlockung; jubelsong; erheitern; freuend; freudenmädchen; jubelst; scheiterst; bejubelt; zugejubelt; erfreuend; jubelstimmung; gesundheiterheben; erfreuende; gesundheiter; jauchzten,joy; rejoice; gladness; happiness; jubilation; exult; delight; cheer; merriment; glad; happy; jubilant; contentment; bliss; mirth; elation,emotional,positive,0.9
lamentation_mourning,leidet; leiden; elend; elende; weinen; trauer; elenden; leidens; schmerzen; leid; kummer; klage; leidest; klagen; schmerzt; schmerz; weint; weinte; einsamkeit; klageweib; schmerzhaft; wehklagen; beweint; betrübt; beweinen; elender; schmerzende; klagefrauen; beweinte; jammern; klagefrau; beklagen; klagenden; schmerzflamme; leidend; trauern; geweint; weinten; schmerzhafter; klagegeschrei; schmerzstoffe; herzenskummer; einsam; klageschrei; beklagenswert; schmerzhafte; leidenden; schmerzlich; leidvollen; klageschreie; klagens; schmerzte; alleinsein; leide; trauerhaltung; klageweiber; trauerfrisur; leidabwender; gram; schmerzenden; schmerzhaften; trauerte; elendes; schmerzes; klagend; beweinten; bauchschmerzen; anklagen; getrauert; liebeskummer; schmerzdämonen; schmerzstoffen; schmerzendem; elends; weinend; betrauert; leidvollem; elendig; verlassen sein; trauernden; kummervolles; kummers; beklagens; betrauerung; trauerten; herzschmerzen; zahnschmerzen; verelendung; trauernder; schmerzhaftes; trauernde; trauergesicht; elendigen; weinenden; kopfschmerz; klageweibes; klagender; wehklagend; betrübten; wehklagenden; leidvoll; weheklagen; leids; schmerzensmann; leidvolles; leides; trauerfeier; weinens,lamentation; mourning; grief; weeping; wailing; sorrow; lament; bewail; tears; grieving; sadness; dirge; funeral lament; loneliness; bereavement; mourn; anguish,emotional,negative,-0.8
fear,furcht; schrecken; zittern; fürchten; angst; furchtbarkeit; ehrfurcht; schreckens; fürchtet; erschrecken; fürchtete; fürchte; furchtsamen; entsetzen; schreckensgestalt; ehrfürchtig; fürchtest; erzittern; zitterns; entsetzt; fürchtend; furchtsam; ehrfurchtsvoll; gefürchtet; furchtbar; furchterregende; fürchteten; zitternlassen; furchterregenden; schreckenerregenden; schreckensherr; grauen; zitternder; erschreckens; zitternd; furchteinflößender; heuschreckenfeldes; erschreckt; angsterfüllt; schreckenerregendste; erfurcht; heuschreckenfelde; gefürchtete; befürchten; abzuschrecken; erzitternlassen; schreckensherrn; befürchtet; fürchtiger; erschreckender; fürchtenden; furchterregender; erschreckendste; todesangst,fear; terror; dread; fright; afraid; tremble; trembling; horror; awe; alarm; panic; frightened; terrified; fearful; dismay; reverence,emotional,negative,-0.7
anger,wütend; zorn; wut; grimmig; wütenden; wüten; wütens; zornig; zürnen; grimmigen; wütender; zornesröte; grimmige; zornigen; zorns; wütendes; wütende; zornes; grimmiger; wutanfall; tewut; erzürne; grimmigkeit; wutgesicht; wutgesichtige; zerstörungswut; grimms; zornherzigen; erdenwütens; zürnende,anger; wrath; rage; fury; ire; angry; furious; enraged; indignation; incensed; outrage; grim anger,emotional,negative,-0.7
pride_boast,brüsten; prahlen; prahlerei; rühmen; hochmut; prahle; stolz; prahlt; prahlerischer; prahlerisch; ruhm; großtaten; selbstlob; überlegenheit; unübertroffen; einzigartig; ohnegleichen; ruhmestaten; angeberei; meine taten; ich bin größer,pride; boast; boasting; vaunt; brag; arrogance; haughtiness; self-praise; conceit; vainglory; proud; boastful; unrivalled; without equal; glorify my deeds,emotional,positive,0.6
complaint_grievance,unrecht; elend; elende; elenden; wehklagen; bedrängnis; beschwerde; elender; bedrängten; bedrängt; unrechts; jammer; jammern; bedrängen; wehklagten; unrechtmäßig; notlage; jammert; elendes; gejammer; bejammern; altersbeschwerde; unrechttuenden; bedränge; elends; jammervoll; unrechten; elendig; unrechttätern; unrechte; verelendung; unrechter; wehklagend; unrechtes; unrechterweise; bedrängte; elendigen; wehklagenden; unrechtmäßigem; jammerte; unrechtem; bejammere,complaint; grievance; distress; misery; wretchedness; hardship; injustice; oppression; affliction; bewailing; plea of distress; misfortune; woe; suffering,emotional,negative,-0.6
celebration_festival,geleitet; geleiten; tanzen; tanz; harfe; festlich; tänzer; festopfer; prozession; feiern; feiere; geleites; gefeiert; horusgeleit; feiert; flöte; festtag; prozessionsbarke; tänzerinnen; geleit; horusgeleits; prozessionen; musizieren; geleiterin; sistrum; musikanten; festtagsöl; festtagen; bestattungsprozession; musik; feier; harfner; feiertag; geleitest; laute; jahresfestopfer; festopfers; geleiter; prozessionsstatue; jahresfestopfers; feierte; prozessionswagen; prozessionsbarken; geleitschutz; feierlich; geleitete; flussprozession; prozessions; festlichen; gelage; feiernden; umzuges; feierten; prozessionsgestalt; feierlichkeiten; festopfern; festlicher; geleite,festival; feast; celebration; procession; jubilee; festive; banquet; music; dance; merrymaking; rejoicing; revelry; festival day; cultic festival,emotional,positive,0.8
