characters,clean_text
s q d i ̯ w j j m f ḥ n ꜥ R ꜥ w,sqdi̯w j jm f ḥnꜥ Rꜥw
s q d i ̯ w j j m f m g ꜣ f,sqdi̯w j jm f m gꜣf
ḫ s f j w ꜣ w t N w t r r w d s n b,ḫsf j wꜣwt Nwt r rwd snb
r ʾ n t m m t m w ḥ m m ẖ r t n ṯ r,rʾ n tm mt m wḥm m ẖrt nṯr
w n ṯ p ḥ t j z p 2,wn ṯpḥtj zp 2
ḫ r ꜣ ḫ w m ẖ n w k k w,ḫr ꜣḫw m ẖnw kkw
ḏ s r w j j r t Ḥ r w,ḏsr wj jrt Ḥrw
r n n t n w j W p i ̯ w w ꜣ t p l,rnntn wj Wpi̯w wꜣtpl
j m n w j m m ṯ n j ḫ m s k,jmn wj m m ṯn jḫm sk
j w w s r t j m R ꜥ w,jw wsrt j m Rꜥw
j w ḥ ꜣ t j j ḥ r s t f k y ḏ d h n f,jw ḥꜣtj j ḥr st f ky ḏd hn f
t p j r ʾ j r ḫ n j,tpj rʾ j rḫn j
n n ḫ m i ̯ w j,nn ḫmi̯ wj
n n ꜥ w ꜣ i ̯ t j f w j,nn ꜥwꜣi̯tj f wj
ꜥ n ḫ n k j t i ̯ k z ꜣ N w t,ꜥnḫ n k jti̯ k zꜣ Nwt
j n k z ꜣ k w r p ḥ t d u m ꜣ ꜣ š t ꜣ k ḫ ꜥ i ̯ k w m n s w t,jnk zꜣ k wr pḥtdu mꜣꜣ štꜣ k ḫꜥi̯kw m nswt
n n m t j m w ḥ m m ẖ r t n ṯ r,nn mt j m wḥm m ẖrt nṯr
m s ḏ i ̯ ḫ n t j j m n t t d m r n f,msḏi̯ ḫntj jmntt dm rn f
r ʾ n w ꜣ ḏ n t j r ḏ i ̯ n Ḏ ḥ w t j ḥ r d w ꜣ f,rʾ n wꜣḏ ntj rḏi̯n Ḏḥwtj ḥr dwꜣ f
j n k w ꜣ ḏ p w y n n š m t j w t j š s r f n t j r ḏ i ̯ n Ḏ ḥ w t j ḥ r d w ꜣ f,jnk wꜣḏ pwy n nšmt jwtj šsr f ntj rḏi̯n Ḏḥwtj ḥr dwꜣ f
b w t f n k n,bwt f nkn
w ḏ ꜣ f w ḏ ꜣ j,wḏꜣ f wḏꜣ j
n n n k n f n n n k n j ṯ z p ẖ r,nn nkn f nn nkn j ṯz pẖr
n n s q r j w f n n s q r j w j,nn sqrjw f nn sqrjw j
ḏ d m d w j n Ḏ ḥ w t j,ḏd mdw jn Ḏḥwtj
j y t w m ḥ t p w r m P i ̯ š m i ̯ n Š w r f m r n f p w y n n š m t s t f m ḏ r j n ṯ r w r ḥ t p J t m w ḥ r j r t f,jytw m ḥtp wr m Pi̯ šmi̯n Šw r f m rn f pwy n nšmt st f m ḏrj nṯr wr ḥtp Jtmw ḥr jrt f
n n š s m t t w ꜥ t n t W s j r m ꜣ ꜥ ḫ r w,nn šsmttw ꜥt nt Wsjr mꜣꜥ ḫrw
ḏ d m d w ḥ r w ꜣ ḏ n n š m t z ẖ ꜣ r ʾ p n ḥ r f r ḏ i ̯ w r ḫ ḫ n ꜣ ḫ,ḏd mdw ḥr wꜣḏ n nšmt zẖꜣ rʾ pn ḥr f rḏi̯w r ḫḫ n ꜣḫ
r ʾ n s w ḏ ꜣ r p t r g s R ꜥ w,rʾ n swḏꜣ r pt r gs Rꜥw
R ꜥ w p w y p s ḏ m g r ḥ w p n j r z n b n t j m š m s f w n n f ꜥ n ḫ w m š m s n Ḏ ḥ w t j,Rꜥw pwy psḏ m grḥw pn jr z nb ntj m šms f wnn f ꜥnḫw m šms n Ḏḥwtj
ḏ i ̯ f ḫ ꜥ i ̯ n Ḥ r w m g r ḥ p n ꜣ w t j b n W s j r,ḏi̯ f ḫꜥi̯n Ḥrw m grḥ pn ꜣwt jb n Wsjr
ḏ r n t j n t f m w ꜥ w m m n w,ḏr ntj ntf m wꜥw m m nw
j w ḫ f t i ̯ f d r w m š s y,jw ḫfti̯ f drw m šsy
W s j r m ꜣ ꜥ ḫ r w š m s w n R ꜥ w š z p b j ꜣ f,Wsjr mꜣꜥ ḫrw šmsw n Rꜥw šzp bjꜣ f
j y n f ḫ r k j t i ̯ f R ꜥ w,jyn f ḫr k jti̯ f Rꜥw
š ꜣ s f Š w,šꜣs f Šw
n j s n f w r r t,njsn f wrrt
ḏ b ꜣ n f Ḥ w p n ḥ s b m n b ḏ p w y j m j w ꜣ t R ꜥ w ꜣ ḫ w n f,ḏbꜣn f Ḥw pn ḥsb m nbḏ pwy jmj wꜣt Rꜥw ꜣḫw n f
p ḥ n f w r p n r ḏ r w w ꜣ ḫ t,pḥn f wr pn r ḏrww ꜣḫt
ḫ s f s w w r r t,ḫsf sw wrrt
w ṯ z W s j r m ꜣ ꜥ ḫ r w b ꜣ k m ḫ t k,wṯz Wsjr mꜣꜥ ḫrw bꜣ k m ḫt k
w s r b ꜣ k m k r j w k š f y t k,wsr bꜣ k m krjw k šfyt k
W s j r m ꜣ ꜥ ḫ r w p n w ḏ m d t n R ꜥ w m p t,Wsjr mꜣꜥ ḫrw pn wḏ mdt n Rꜥw m pt
j n ḏ ḥ r k n ṯ r ꜥ ꜣ m j ꜣ b t t n t p t,jnḏ ḥr k nṯr ꜥꜣ m jꜣbtt nt pt
h ꜣ i ̯ k r w j ꜣ n R ꜥ w m b j k n ṯ r i ̯,hꜣi̯ k r wjꜣ n Rꜥw m bjk nṯri̯
j r i ̯ n f w ḏ m d t,jri̯ n f wḏ mdt
h ꜣ i ̯ W s j r m ꜣ ꜥ ḫ r w r w j ꜣ k,hꜣi̯ Wsjr mꜣꜥ ḫrw r wjꜣ k
s q d d f m ḥ t p r j m n t t n f r t,sqdd f m ḥtp r jmntt nfrt
m d t n f J t m w,mdt n f Jtmw
j n j w ꜥ q k,jn jw ꜥq k
m ḥ n ḥ ḥ p w m ḥ ḥ m ꜣ w j m j w r r t ꜣ w r,mḥn ḥḥ pw m ḥḥ m ꜣw jmj wr r tꜣ wr
š ḥ ḥ ḥ n ḥ n w,š ḥḥ ḥnḥnw
p s ḏ t n b t n n ḥ r g s f n b p s š t j m g s ḏ d t,psḏt nbt nn ḥr gs f nb psštj m gs ḏdt
w ꜣ t j m j t w f ḥ ḥ n b r s n n w f,wꜣt jmj tw f ḥḥ nb r snnw f
w ꜣ t p w m ḫ t p ẖ r s n m s ḏ t ḥ ꜣ j t f z p 2,wꜣt pw m ḫt pẖr sn m sḏt ḥꜣjt f zp 2
m ḏ ꜣ t j r r t z n j t i ̯ f z ꜣ f r ʾ p w m ḥ ꜣ b w n w j m n t,mḏꜣt jrrt z n jti̯ f zꜣ f rʾ pw m ḥꜣbw nw jmnt
s j q r f p w ḥ r j b n R ꜥ w ḥ r j b n n ṯ r w n n ḥ n ꜥ s n,sjqr f pw ḥr jb n Rꜥw ḥr jb n nṯr wnn ḥnꜥ sn
ḏ d t h r w p s ḏ n t w,ḏdt hrw psḏntw
ḏ d m d w j n m ꜣ ꜥ ḫ r w w d n t ʾ ḥ n q t ꜣ p d š s m ꜣ š r t s n ṯ r ḥ r s ḏ t,ḏd mdw jn mꜣꜥ ḫrw wdn tʾ ḥnqt ꜣpd šs m ꜣšrt snṯr ḥr sḏt
n W s j r ḫ n t j j m n t j w,n Wsjr ḫntj jmntjw
n R ꜥ w Ḥ r w ꜣ ḫ t j,n Rꜥw Ḥrw ꜣḫtj
n N w w,n Nww
n M ꜣ ꜥ t,n Mꜣꜥt
n w j ꜣ n R ꜥ w,n wjꜣ n Rꜥw
n J t m w,n Jtmw
n p s ḏ t ꜥ ꜣ t,n psḏt ꜥꜣt
n p s ḏ t n ḏ s t,n psḏt nḏst
n w r n b w r r t,n wr nb wrrt
n Š w,n Šw
n T f n t,n Tfnt
n G b b,n Gbb
n N w t,n Nwt
n ꜣ s t,n ꜣst
n N b t ḥ w t,n Nbt ḥwt
n Ḥ w t k ꜣ n b t r ḏ r,n Ḥwt kꜣ nbt r ḏr
n Š n j t p t w ṯ z t n ṯ r,n Šnjt pt wṯzt nṯr
n J w g r t ḫ n t j t s t s,n Jwgrt ḫntjt st s
n ꜣ ḫ b j t t s ꜥ ḥ t n ṯ r,n ꜣḫ bjtt sꜥḥt nṯr
n w r m r w t s d š r t š n j,n wr mrwt s dšrt šnj
n H ̱ n m t m ꜥ n ḫ j w n w y t,n H̱nmt m ꜥnḫ jwnwyt
n S ḫ m t r n s m ḥ t y t ḥ m w t s,n Sḫmt rn s m ḥtytḥmwt s
n K ꜣ ṯ ꜣ y j d w t,n Kꜣ ṯꜣy jdwt
n S ḫ m n f r ḥ m w n f r n p t m ḥ t j t,n Sḫm nfr ḥmw nfr n pt mḥtjt
n D b n s š m i ̯ T ꜣ ḥ m w n f r n p t j m n t j t,n Dbn sšmi̯ Tꜣ ḥmw nfr n pt jmntjt
n j ꜣ ḫ w ḥ r j j b ḥ w t ꜥ š m w ḥ m w n f r n p t j ꜣ b t j t,n jꜣḫw ḥrj jb ḥwt ꜥšmw ḥmw nfr n pt jꜣbtjt
n Ḫ n t j ḥ r j j b ḥ w t d š r w ḥ m w n f r n p t r s j t,n Ḫntj ḥrj jb ḥwt dšrw ḥmw nfr n pt rsjt
n J m s t j,n Jmstj
n Ḥ p y,n Ḥpy
n D w ꜣ m w t f,n Dwꜣ mwt f
n Q b ḥ s n f,n Qbḥ sn f
n j t r t š m ꜥ t,n jtrt šmꜥt
n j t r t m ḥ t,n jtrt mḥt
n s k t t,n sktt
n m ꜥ n ḏ t,n mꜥnḏt
n Ḏ ḥ w t j,n Ḏḥwtj
n n ṯ r r s j w,n nṯr rsjw
n n ṯ r m ḥ t j w,n nṯr mḥtjw
n n ṯ r j m n t j w,n nṯr jmntjw
n n ṯ r j ꜣ b t j w,n nṯr jꜣbtjw
n n ṯ r m ꜣ s t j w,n nṯr mꜣstjw
n n ṯ r ḥ t p t j w,n nṯr ḥtptjw
n p r w r,n pr wr
n p r n z r,n pr nzr
n n ṯ r j ꜣ y t j w,n nṯr jꜣytjw
n n ṯ r ꜣ ḫ t j w,n nṯr ꜣḫtjw
n n ṯ r s ḫ t j w,n nṯr sḫtjw
n n ṯ r p r t j w,n nṯr prtjw
n n ṯ r n s t j w,n nṯr nstjw
n w ꜣ t r s j t,n wꜣt rsjt
n w ꜣ t m ḥ t j t,n wꜣt mḥtjt
n w ꜣ t j ꜣ b t j t,n wꜣt jꜣbtjt
n w ꜣ t j m n t j t,n wꜣt jmntjt
n s b ꜣ w d ꜣ t,n sbꜣw dꜣt
n s b ḫ t d ꜣ t,n sbḫt dꜣt
n ꜥ ꜣ š t ꜣ w,n ꜥꜣ štꜣw
n s b ꜣ w š t ꜣ w,n sbꜣw štꜣw
n j r j w ꜥ ꜣ n s b ꜣ w d ꜣ t,n jrjw ꜥꜣ n sbꜣw dꜣt
n š t ꜣ w ḥ r z ꜣ u ̯ y w ꜣ t,n štꜣw ḥr zꜣu̯y wꜣt
n j r j w n w ḏ ḏ y s b ḥ,n jrjw nw ḏḏy sbḥ
n j r j w z m y t ḏ ḏ y w ḥ r n f r,n jrjw zmyt ḏḏyw ḥr nfr
n r k ḥ y w ḏ ḏ y w s ḏ t n m ꜥ ḫ y w,n rkḥyw ḏḏyw sḏt n m ꜥḫyw
n w n y ꜥ ḫ m y w s ḏ t ḫ t m j m n t,n wny ꜥḫmyw sḏt ḫt m jmnt
n W n n n f r w,n Wnn nfrw
n W s j r ꜥ n ḫ t j,n Wsjr ꜥnḫtj
n W s j r n b ꜥ n ḫ,n Wsjr nb ꜥnḫ
n W s j r n b r ḏ r,n Wsjr nb r ḏr
n W s j r ḫ n t j w ꜥ m ḥ w w,n Wsjr ḫntj wꜥ m ḥww
n W s j r S ꜣ ḥ,n Wsjr Sꜣḥ
n W s j r z ꜣ ꜣ,n Wsjr zꜣꜣ
n W s j r ḫ n t j p r,n Wsjr ḫntj pr
n W s j r m r s n t,n Wsjr m rsnt
n W s j r m m ḥ n t,n Wsjr m mḥnt
n W s j r n b i ̯ ḥ ḥ,n Wsjr nbi̯ ḥḥ
n W s j r b ꜣ t j r p y t,n Wsjr bꜣtj rpyt
n W s j r P t ḥ n b ꜥ n ḫ,n Wsjr Ptḥ nb ꜥnḫ
n W s j r ḫ n t j R ʾ s ṯ ꜣ w,n Wsjr ḫntj Rʾ sṯꜣw
n W s j r ḥ r j j b ḫ ꜣ s t,n Wsjr ḥrj jb ḫꜣst
n W s j r m ꜥ n ḏ t j,n Wsjr m ꜥnḏtj
n W s j r m S ḥ t t,n Wsjr m Sḥtt
n W s j r m N ḏ f t,n Wsjr m Nḏft
n W s j r m r s w,n Wsjr m rsw
n W s j r m P i ̯,n Wsjr m Pi̯
n W s j r m N ṯ r w,n Wsjr m Nṯrw
n W s j r m Z ꜣ w ẖ r j,n Wsjr m Zꜣw ẖrj
n W s j r m B j k t,n Wsjr m Bjkt
n W s j r m S w n w,n Wsjr m Swnw
n W s j r m R ʾ ḥ n n t,n Wsjr m Rʾ ḥnnt
n W s j r m ꜥ p r,n Wsjr m ꜥpr
n W s j r m Q f d n w,n Wsjr m Qfdnw
n W s j r Z k r j m p ḏ š,n Wsjr Zkrj m pḏ š
n W s j r ḫ n t j n ʾ t f,n Wsjr ḫntj nʾt f
n W s j r m P s g r ʾ,n Wsjr m Psg rʾ
n W s j r m s t f j m j t T ꜣ m ḥ w,n Wsjr m st f jmjt Tꜣ mḥw
n W s j r m p t,n Wsjr m pt
n W s j r m s t f j m j t R ʾ s ṯ ꜣ w,n Wsjr m st f jmjt Rʾ sṯꜣw
n W s j r n ḏ s t j,n Wsjr nḏstj
n W s j r w s i ̯ w r,n Wsjr wsi̯ wr
n W s j r Z k r j,n Wsjr Zkrj
n W s j r ḥ q ꜣ ḏ t,n Wsjr ḥqꜣ ḏt
n W s j r w t t j w ṯ w,n Wsjr wttjwṯw
n W s j r m j n w,n Wsjr m jnw
n W s j r m s k w,n Wsjr m skw
n W s j r n b ḏ t,n Wsjr nb ḏt
n W s j r j t y,n Wsjr jty
n W s j r t ꜣ y t j,n Wsjr tꜣytj
n W s j r m R ʾ s ṯ ꜣ w,n Wsjr m Rʾ sṯꜣw
n W s j r ḥ r j š ꜥ j f,n Wsjr ḥrj šꜥj f
n W s j r ḫ n t j z ḥ j d t,n Wsjr ḫntj zḥ jdt
n W s j r m T ʾ n n t,n Wsjr m Tʾ nnt
n W s j r m N d b y t,n Wsjr m Ndbyt
n W s j r m S j ꜣ,n Wsjr m Sjꜣ
n W s j r m B d š w,n Wsjr m Bdšw
n W s j r m D p w,n Wsjr m Dpw
n W s j r m Z ꜣ w ḥ r j,n Wsjr m Zꜣw ḥrj
n W s j r m N p r t,n Wsjr m Nprt
n W s j r m Š n w,n Wsjr m Šnw
n W s j r m Ḥ n k t,n Wsjr m Ḥnkt
n W s j r m t ꜣ Z k r j,n Wsjr m tꜣ Zkrj
n W s j r m Š ꜣ w,n Wsjr m Šꜣw
n W s j r m f ꜣ i ̯ t Ḥ r w,n Wsjr m fꜣi̯t Ḥrw
n W s j r m M ꜣ ꜥ t j,n Wsjr m Mꜣꜥtj
n W s j r m H n j,n Wsjr m Hnj
k y t m ḏ ꜣ t n j t s j q r ꜣ ḫ,kyt mḏꜣt njt sjqr ꜣḫ
j n ḏ ḥ r k ḥ r j j b k ꜣ r j f w b n m w b n p s ḏ m p s ḏ ḏ d ḥ ḥ ḥ r m r r t f ḏ ḏ ḥ r n h ꜣ m m Ḫ p r j ḥ r j j b w j ꜣ f s ḫ r n f ꜥ ꜣ p p,jnḏ ḥr k ḥrj jb kꜣrj f wbn m wbn psḏ m psḏ ḏdḥ ḥḥ r mrrt f ḏḏ ḥr n hꜣmm Ḫprj ḥrj jb wjꜣ f sḫrn f ꜥꜣpp
j n m s G b b s ḫ r s n ḫ f t j w n j w R ꜥ w W s j r ḫ m y p l ḫ m s n s w m w j ꜣ n R ꜥ w,jn ms Gbb sḫr sn ḫftjw njw Rꜥw Wsjr ḫmypl ḫm sn sw m wjꜣ n Rꜥw
š ꜥ d t p ṯ n r p t m ꜣ p d w y ḫ p d ṯ n r m w m ꜥ r š,šꜥd tp ṯn r pt m ꜣpdwy ḫpd ṯn r mw m ꜥr š
ḏ ꜣ y w n b ḏ ꜣ y t n b t ḫ m i ̯ t j s n W s j r h ꜣ i ̯ s n m p t p r i ̯ s n m t ꜣ š ꜣ s s n m ꜥ b s b ꜣ ḥ s q s n T j Ḏ ḥ w t j z ꜣ j n r t j p r i ̯ m j n r t j,ḏꜣyw nb ḏꜣyt nbt ḫmi̯tj sn Wsjr hꜣi̯ sn m pt pri̯ sn m tꜣ šꜣs sn m ꜥb sbꜣ ḥsq sn TjḎḥwtj zꜣ jnrtj pri̯ m jnrtj
g r j d i ̯ n W s j r n ṯ r p n w r š ꜥ d ꜥ ꜣ š f š f y t,gr jdi̯ n Wsjr nṯr pn wr šꜥd ꜥꜣ šfšfyt
w ꜥ b n f m z n f ṯ n,wꜥbn f m znf ṯn
b ꜥ b ꜥ n f m d š r t ṯ n,bꜥbꜥn f m dšrt ṯn
ḫ m i ̯ s n W s j r m w j ꜣ n R ꜥ w p w Ḥ r w p w m s i ̯ s w m w t f r n n t n s w N b t ḥ w t j r i ̯ n s n r ḫ s f z m ꜣ y t S t ẖ m ꜣ ꜣ s n w r t m n t w m t p f ḫ r s n n f ḥ r ḥ r s n,ḫmi̯ sn Wsjr m wjꜣ n Rꜥw pw Ḥrw pw msi̯ sw mwt f rnntn sw Nbt ḥwt jri̯n sn r ḫsf zmꜣyt Stẖ mꜣꜣ sn wrt mntw m tp f ḫr sn n f ḥr ḥr sn
j s t w W s j r m ꜣ ꜥ ḫ r w ḫ r w f m ꜣ ꜥ w m p t t ꜣ m ḏ ꜣ ḏ ꜣ t n j t n ṯ r n b n ṯ r t n b t,jstw Wsjr mꜣꜥ ḫrw ḫrw f mꜣꜥw m pt tꜣ m ḏꜣḏꜣt njt nṯr nb nṯrt nbt
ḏ d m d w ḥ r b j k ḥ ḏ t ḥ r t p f t w t n j J t m w Š w T f n w t G b b N w t W s j r ꜣ s t S t ẖ N b t ḥ w t z ẖ ꜣ w m z t j ḥ r m ḥ t t n m ꜣ w t m w j ꜣ n R ꜥ w,ḏd mdw ḥr bjk ḥḏt ḥr tp f twt nj Jtmw Šw Tfnwt Gbb Nwt Wsjr ꜣst Stẖ Nbt ḥwt zẖꜣw m ztj ḥr mḥtt n mꜣwt m wjꜣ n Rꜥw
w d n n f t ʾ ḥ n q t j ḥ ꜣ p d j ḫ t n b t n f r t n n n n j n ṯ r,wdn n f tʾ ḥnqt jḥ ꜣpd jḫt nbt nfrt n nn nj nṯr
j s k j r i ̯ n k t w t n j ꜣ ḫ p n w r ḥ w m ḥ k n w r ḏ i ̯ w m b ꜣ ḥ n n n j n ṯ r,jsk jri̯n k twt nj ꜣḫ pn wrḥw m ḥknw rḏi̯w m bꜣḥ nn nj nṯr
d w ꜣ R ꜥ w p w,dwꜣ Rꜥw pw
j r i ̯ t ḫ p r w m m z ḥ,jri̯t ḫprw m mzḥ
j n k j s ḥ r j j b n t n t f,jnk js ḥrj jb ntnt f
j n k m z ḥ m ṯ ꜣ r t f,jnk mzḥ m ṯꜣrt f
j n k j n i ̯ j ṯ i ̯ m ꜥ w ꜣ i ̯,jnk jni̯jṯi̯ m ꜥwꜣi̯
j n k r r m Ḥ r w ꜥ ꜣ m K m w r n b k s ꜣ m Ḫ m,jnk rrm Ḥrw ꜥꜣ m Km wr nb ksꜣ m Ḫm
r ʾ n r ḫ b ꜣ Ḫ m n w W s j r,rʾ n rḫ bꜣ Ḫmnw Wsjr
j š š š w t m r m n,jšš šwt m rmn
w b n n t m m n ṯ ꜣ t,wbn nt m mnṯꜣt
s ḥ ḏ w j r t j n w ḏ ꜥ n j,sḥḏw jrt jn wḏꜥ nj
j w j b z i ̯ k w ḥ r s,jw j bzi̯kw ḥr s
j w j r ḫ k w j n n s t m Q j s,jw j rḫkw jnn st m Qjs
n ḏ d j n r m ṯ,n ḏd j n rmṯ
n w ḥ m j n n ṯ r,n wḥm j n nṯr
j y n j m w p w t n t R ꜥ w r s m n š w t m r m n r w b n n t m m n ṯ ꜣ t r s j p j r t n j p s j,jyn j m wpwt nt Rꜥw r smn šwt m rmn r wbn nt m mnṯꜣt r sjp jrt n jp sj
j y n j m s ḫ m ḥ r r ḫ b ꜣ Ḫ m n w,jyn j m sḫm ḥr rḫ bꜣ Ḫmnw
m r r y w r ḫ m r i ̯ ṯ n,mrryw rḫ mri̯ ṯn
j w j r ḫ k w š w t r w ḏ t j k m m t j p s j,jw j rḫkw šwt rwḏtj kmmt jp sj
r š y j ḥ r j p j p t,ršy j ḥr jp jpt
j n ḏ ḥ r ṯ n b ꜣ Ḫ m n w,jnḏ ḥr ṯn bꜣ Ḫmnw
j w j r ḫ k w š r t j t m ꜣ b d w r t m s m d t,jw j rḫkw šrtjt m ꜣbd wrt m smdt
s j ꜣ R ꜥ w š t ꜣ w g r ḥ r ḫ n ṯ n,sjꜣ Rꜥw štꜣw grḥ rḫn ṯn
s j ꜣ n w j Ḏ ḥ w t j p w y,sjꜣn wj Ḏḥwtj pwy
j n ḏ ḥ r ṯ n b ꜣ w Ḫ m n w m j r ḫ j ṯ n r ꜥ w n b,jnḏ ḥr ṯn bꜣw Ḫmnw mj rḫ j ṯn rꜥw nb
r ʾ n t m r ḏ i ̯ t j r i ̯ y z k ꜣ t m ẖ r n ṯ r,rʾ n tm rḏi̯t jri̯y z kꜣt m ẖr nṯr
j n k w ḏ ꜥ z ꜣ n n i ̯ y w p r i ̯ m W n w ꜥ n ḫ m b s k w j ꜥ n ꜥ,jnk wḏꜥ zꜣ nni̯yw pri̯ m Wnw ꜥnḫ m bskw jꜥnꜥ
j n ḏ ḥ r k W s j r ḫ n t j j m n t j w,jnḏ ḥr k Wsjr ḫntj jmntjw
j n ḏ ḥ r k R ꜥ w j m j k ꜣ r j f w b n m w b n p s ḏ m p s ḏ ḏ d ḥ ꜥ ꜥ w t r ḥ ḥ n m r i ̯ t f ḏ ḏ ḥ r n h ꜣ m m Ḫ p r j ḥ r j j b w j ꜣ f s ḫ r n f ꜥ ꜣ p p r ꜥ w n b,jnḏ ḥr k Rꜥw jmj kꜣrj f wbn m wbn psḏ m psḏ ḏd ḥꜥꜥwt r ḥḥ n mri̯t f ḏḏ ḥr n hꜣmm Ḫprj ḥrj jb wjꜣ f sḫrn f ꜥꜣpp rꜥw nb
j n m s G b b s ḫ r s n ḫ f t j y n j w W s j r ḫ m y p l ḫ m i ̯ w y s n w j ꜣ p n n j R ꜥ w,jn ms Gbb sḫr sn ḫftjy njw Wsjr ḫmypl ḫmi̯wy sn wjꜣ pn nj Rꜥw
š p ꜥ d n Ḥ r w t p s n r p t m ꜣ p d w y ḫ p d s n r ꜥ r t m r m w,špꜥdn Ḥrw tp sn r pt m ꜣpdwy ḫpd sn r ꜥrt m rmw
j r ḏ ꜣ y t n b ḏ ꜣ y t n b t ḫ m i ̯ w y s n W s j r m ꜣ ꜥ ḫ r w h ꜣ i ̯ t j f j m p t p r i ̯ t j f m t ꜣ j w i ̯ s n ḥ r m w š ꜣ š s s n m ꜥ b ꜣ s b ꜣ w ḥ w s t s t T j Ḏ ḥ w t j p r i ̯ m j n r t j,jr ḏꜣyt nb ḏꜣyt nbt ḫmi̯wy sn Wsjr mꜣꜥ ḫrw hꜣi̯tj fj m pt pri̯tj f m tꜣ jwi̯ sn ḥr mw šꜣšs sn m ꜥbꜣ sbꜣ wḥwst st TjḎḥwtj pri̯ m jnrtj
g r n f j d r j n f R ꜥ w j s n ṯ r p n w r š ꜥ d ꜥ ꜣ š f š f t,gr n f jdrj n f Rꜥw js nṯr pn wr šꜥd ꜥꜣ šfšft
w ꜥ b f m z n f ṯ n,wꜥb f m znf ṯn
b n ꜥ b n ꜥ f m d š r t ṯ n,bnꜥbnꜥ f m dšrt ṯn
ḫ m i ̯ s n W s j r m w j ꜣ n R ꜥ w W s j r Ḥ r w p w m s i ̯ n m w t f ꜣ s t r n n n s w N b t ḥ w t m j j r i ̯ t n s n n Ḥ r w r ḫ s f z m ꜣ y t S t ẖ m ꜣ ꜣ s n w r r t f m n t w m t p f ḫ r s n n f ḥ r ḥ r s n,ḫmi̯ sn Wsjr m wjꜣ n Rꜥw Wsjr Ḥrw pw msi̯n mwt f ꜣst rnnn sw Nbt ḥwt mj jri̯tn sn n Ḥrw r ḫsf zmꜣyt Stẖ mꜣꜣ sn wrrt f mntw m tp f ḫr sn n f ḥr ḥr sn
ꜣ ḫ w y s n,ꜣḫwy sn
j s t w r m ṯ n ṯ r ꜣ ḫ w y m w t m ꜣ ꜥ ḫ r w W s j r m ꜣ ꜥ ḫ r w r ḫ f t j f m p t ḥ r j t m p t ẖ r j t m ḏ ꜣ ḏ ꜣ t n j t n ṯ r n b t n ṯ r t n b t,jstw rmṯ nṯr ꜣḫwy mwt mꜣꜥ ḫrw Wsjr mꜣꜥ ḫrw r ḫftj f m pt ḥrjt m pt ẖrjt m ḏꜣḏꜣt njt nṯr nbt nṯrt nbt
s š t ꜣ p w n j d w ꜣ t b z w t š t ꜣ n j ẖ r t n ṯ r g m i ̯ y m ꜥ ḥ t w r n j ḥ w t ꜥ ꜣ t ḫ r ḥ m n j n s w t b j t j Z m t m ꜣ ꜥ ḫ r w m g m i ̯ y m q r r t n j t ḏ w m j r i ̯ t n Ḥ r w n j t i ̯ f W s j r W n n n f r ꜥ n ḫ w ḏ t,sštꜣ pw nj dwꜣt bzwt štꜣ nj ẖrt nṯr gmi̯y m ꜥḥt wr nj ḥwt ꜥꜣt ḫr ḥm nj nswt bjtj Zmt mꜣꜥ ḫrw m gmi̯y m qrrt njt ḏw m jri̯tn Ḥrw n jti̯ f Wsjr Wnn nfr ꜥnḫw ḏt
ḏ r n t j m ꜣ ꜣ R ꜥ w ꜣ ḫ p n m ḥ ꜥ t f ḏ s f m ꜣ ꜣ f s w m j p s ḏ t f,ḏr ntj mꜣꜣ Rꜥw ꜣḫ pn m ḥꜥt f ḏs f mꜣꜣ f sw mj psḏt f
w r s n ḏ f ꜥ ꜣ š f š f t f m j b r m ṯ n ṯ r ꜣ ḫ w y m w t,wr snḏ f ꜥꜣ šfšft f m jb rmṯ nṯr ꜣḫwy mwt
w n n ḫ r b ꜣ f ꜥ n ḫ w r n ḥ ḥ,wnnḫr bꜣ f ꜥnḫw r nḥḥ
n n m w t n f m w ḥ m m ẖ r t n ṯ r,nn mwtn f m wḥm m ẖrt nṯr
n n š n ꜥ t w f ḥ r s b ꜣ w ḥ r s b ḫ t ṯ p ḥ t ꜥ r y t ẖ r t n ṯ r,nn šnꜥtw f ḥr sbꜣw ḥr sbḫt ṯpḥt ꜥryt ẖrt nṯr
n z p i ̯ n t w f h ꜣ w w ḏ ꜥ m d t,n zpi̯ntw f hꜣw wḏꜥ mdt
w n n ḫ r w f m ꜣ ꜥ r ḫ f t j f,wnn ḫrw f mꜣꜥ r ḫftj f
w n n ḥ t p f ḥ r ḫ ꜣ w t n j t R ꜥ w m ẖ r t h ꜣ w n j t r ꜥ w n b,wnn ḥtp f ḥr ḫꜣwt njt Rꜥw m ẖrt hꜣw njt rꜥw nb
ḏ d t ḥ r f m ḥ k ꜣ w,ḏdt ḥr f m ḥkꜣw
m s ḫ s f r j m m t r w,m sḫsf r j m mtrw
m s ḫ s f r j m ḏ ꜣ ḏ ꜣ t,m sḫsf r j m ḏꜣḏꜣt
n t k k ꜣ j j m j ẖ t j H ̱ n m w s w ḏ ꜣ ꜥ t j,ntk kꜣ j jmj ẖt j H̱nmw swḏꜣ ꜥt j
p r i ̯ k r b w n f r ḥ n n n j m,pri̯ k r bw nfr ḥn n n jm
